Player,Years,Teams,GP,Goal,Shots,Sh%,TOI,Cap,Star
Tyler Bozak,6,1,378,95,585,0.1623931624,7387,4200000,0
Tyler Ennis,6,1,345,89,818,0.108801956,6053,4600000,0
Tyler Gaudet,1,1,2,0,1,0,19,925000,0
Tyler Graovac,1,1,3,0,4,0,28,747500,0
Tyler Johnson,3,1,173,56,395,0.1417721519,3050,3333333,1
Tyler Kennedy,8,4,477,86,1201,0.07160699417,6273,600000,0
Tyler Pitlick,2,1,27,3,27,0.1111111111,302,761250,0
Tyler Seguin,5,2,354,130,1108,0.1173285199,6029,5750000,1
Tyler Toffoli,3,1,148,37,344,0.1075581395,2031,3250000,1
Valeri Nichushkin,2,1,87,14,134,0.1044776119,1293,925000,0
Valtteri Filppula,10,2,640,137,1001,0.1368631369,10918,5000000,1
Vernon Fiddler,10,3,700,86,983,0.08748728383,9716,1250000,0
Victor Rask,1,1,80,11,172,0.06395348837,1307,680833,0
Viktor Arvidsson,1,1,6,0,9,0,62,631666,0
Viktor Stalberg,6,4,338,62,721,0.08599167822,4362,1100000,0
Viktor Tikhonov,8,2,61,8,71,0.1126760563,740,1040000,0
Vincent Lecavalier,11,3,696,265,2265,0.1169977925,13383,2250000,1
Vincent Trocheck,2,1,70,12,127,0.09448818898,1078,661666,0
Vladimir Tarasenko,3,1,179,66,475,0.1389473684,2838,7500000,1
Vladislav Namestnikov,2,1,47,9,50,0.18,554,874125,0
Wayne Simmonds,7,2,524,139,1075,0.1293023256,7985,3975000,0
William Karlsson,1,2,21,3,29,0.1034482759,257,830833,0
Zac Dalpe,5,4,117,10,135,0.07407407407,982,600000,0
Zac Rinaldo,4,2,223,8,168,0.04761904762,1795,850000,0
Zach Boychuk,7,3,127,12,155,0.07741935484,1348,600000,0
Zach Parise,10,2,691,274,2385,0.114884696,12906,7538461,1
Zach Sill,2,3,83,1,57,0.01754385965,744,575000,0
Zack Kassian,4,3,198,35,249,0.140562249,2497,1750000,0
Zack Smith,7,1,319,39,509,0.07662082515,4422,1887500,0
Zemgus Girgensons,2,1,131,23,230,0.1,2236,894166,0
